ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,753646889,1.059,OTHERS,OTHERS,OTHERS,196280109.5054429,3.839649829516226,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AMBP3,AMBIPAR,ON      NM,101944827,0.411,utilidade_publica,agua_e_saneamento,agua_e_saneamento,196280109.5054429,0.5193844004716792,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AMER3,AMERICANAS,ON      NM,1143520110,2.538,OTHERS,OTHERS,OTHERS,196280109.5054429,5.825960220224403,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ARZZ3,AREZZO CO,ON      NM,140318053,1.865,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,196280109.5054429,0.7148867674546969,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
AZUL4,AZUL,PN      N2,761726312,1.755,bens_industriais,transporte,transporte_aereo,196280109.5054429,3.8808125485525937,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BBAS3,BRASIL,ON      NM,440865035,2.684,financeiro,intermediarios_financeiros,bancos,196280109.5054429,2.2461014318303847,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BBDC4,BRADESCO,PN  EJ  N1,1044422104,2.886,financeiro,intermediarios_financeiros,bancos,196280109.5054429,5.3210796887752805,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BEEF3,MINERVA,ON      NM,605416839,1.301,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,196280109.5054429,3.0844533382696717,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BPAC11,BTGP BANCO,UNT     N2,760069989,2.827,OTHERS,OTHERS,OTHERS,196280109.5054429,3.8723739808129825,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BRFS3,BRF SA,ON      NM,1176055938,2.703,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,196280109.5054429,5.991722446880884,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
BRKM5,BRASKEM,PNA     N1,616585571,2.869,materiais_basicos,quimicos,petroquimicos,196280109.5054429,3.141355344428835,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CCRO3,CCR SA,ON      NM,1386096210,2.769,bens_industriais,transporte,exploracao_de_rodovias,196280109.5054429,7.061827168797067,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CIEL3,CIELO,ON      NM,2546613533,1.943,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,196280109.5054429,12.974384105534554,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CMIG4,CEMIG,PN      N1,1553730781,2.693,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,7.91588503244092,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CPFE3,CPFL ENERGIA,ON      NM,436452308,2.234,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,2.2236196479597803,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CPLE6,COPEL,PNB     N2,2848923836,2.875,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,14.514582466752694,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
CSAN3,COSAN,ON      NM,955863338,2.694,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,196280109.5054429,4.869894052986014,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
DXCO3,DEXCO,ON      NM,638956965,0.962,OTHERS,OTHERS,OTHERS,196280109.5054429,3.255332221945197,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ECOR3,ECORODOVIAS,ON      NM,775714390,0.656,bens_industriais,transporte,exploracao_de_rodovias,196280109.5054429,3.9520784452104114,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
EGIE3,ENGIE BRASIL,ON      NM,494580467,2.873,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,2.5197686522906957,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ELET3,ELETROBRAS,ON      N1,361220387,2.405,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,1.8403310855600643,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ENBR3,ENERGIAS BR,ON      NM,571961818,1.873,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,2.914008044121961,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
FLRY3,FLEURY,ON      NM,705289298,1.681,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,196280109.5054429,3.593279521685014,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ITSA4,ITAUSA,PN  EJ  N1,2118097645,2.819,financeiro,intermediarios_financeiros,bancos,196280109.5054429,10.791198610683804,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
ITUB4,ITAUUNIBANCO,PN  EJ  N1,793234197,3.014,financeiro,intermediarios_financeiros,bancos,196280109.5054429,4.041337652595937,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
KLBN11,KLABIN S/A,UNT     N2,1098936553,2.919,materiais_basicos,madeira_e_papel,papel_e_celulose,196280109.5054429,5.598817708880106,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
LIGT3,LIGHT S/A,ON      NM,864959914,0.722,utilidade_publica,energia_eletrica,energia_eletrica,196280109.5054429,4.406762948010351,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
LREN3,LOJAS RENNER,ON      NM,823569467,3.147,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,196280109.5054429,4.195888564944795,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
MDIA3,M.DIASBRANCO,ON      NM,161088486,0.978,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,196280109.5054429,0.8207071333202663,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
MGLU3,MAGAZ LUIZA,ON      NM,3686296007,2.248,consumo_ciclico,comercio,eletrodomesticos,196280109.5054429,18.780792492362952,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
MOVI3,MOVIDA,ON      NM,306569648,0.639,consumo_ciclico,diversos,aluguel_de_carros,196280109.5054429,1.561898700650046,SET/2022 ATE DEZ/2022,2022-11-27,CARTEIRA_TEORICA_B3_QUADRIMESTRE_ISEE
