ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4386652506,3.18,862108463.2181795,5.088283775367417,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
ASAI3,ASSAI,ON      NM,1190824431,0.816,862108463.2181795,1.3812930527961076,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
AURE3,AUREN,ON      NM,301966318,0.207,862108463.2181795,0.35026488067729294,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
B3SA3,B3,ON      NM,5733398051,4.143,862108463.2181795,6.6504370338712375,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
BBSE3,BBSEGURIDADE,ON      NM,671682536,1.07,862108463.2181795,0.7791160447406638,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
BBDC3,BRADESCO,ON  EJ  N1,1500631902,1.029,862108463.2181795,1.74065325423006,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
BBDC4,BRADESCO,PN  EJ  N1,5146612491,3.899,862108463.2181795,5.969796969383785,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
BBAS3,BRASIL,ON      NM,1420731069,3.32,862108463.2181795,1.6479725343334743,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
BRKM5,BRASKEM,PNA     N1,265212486,0.305,862108463.2181795,0.30763238886437066,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
BPAC11,BTGP BANCO,UNT EJ  N2,1225470424,1.998,862108463.2181795,1.4214805633915488,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.27,862108463.2181795,0.600272497115056,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CRFB3,CARREFOUR BR,ON      NM,528743156,0.316,862108463.2181795,0.6133139605499819,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CCRO3,CCR SA,ON      NM,998462635,0.642,862108463.2181795,1.1581635926329057,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CMIG3,CEMIG,ON      N1,360768393,0.333,862108463.2181795,0.41847216260153797,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CMIG4,CEMIG,PN      N1,1442098974,0.856,862108463.2181795,1.672758168521817,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CIEL3,CIELO,ON      NM,1095401258,0.226,862108463.2181795,1.2706072434447029,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CPLE6,COPEL,PNB     N2,1563365506,0.666,862108463.2181795,1.8134209008505566,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CSAN3,COSAN,ON      NM,1171063698,1.13,862108463.2181795,1.35837165271353,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.323,862108463.2181795,0.21775976690822635,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
CMIN3,CSNMINERACAO,ON      N2,1110550596,0.234,862108463.2181795,1.2881796704029638,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
ELET3,ELETROBRAS,ON      N1,2019004498,3.616,862108463.2181795,2.3419379163304157,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
ELET6,ELETROBRAS,PNB     N1,275526814,0.558,862108463.2181795,0.3195964611824842,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
ENGI11,ENERGISA,UNT     N2,248477689,0.593,862108463.2181795,0.2882209137263928,2023-08-08,2023-08-08,CARTEIRA_TEORICA_B3_MLCX
