ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4386652506,3.51,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,894655692.1058029,4.903173974867228,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ASAI3,ASSAI,ON      NM,1189793199,1.026,OTHERS,OTHERS,OTHERS,894655692.1058029,1.329889486534775,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
AURE3,AUREN,ON      NM,301966318,0.237,OTHERS,OTHERS,OTHERS,894655692.1058029,0.33752237946337144,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
B3SA3,B3,ON  EJ  NM,5901731302,3.441,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,894655692.1058029,6.596650928480378,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
BBSE3,BBSEGURIDADE,ON      NM,671682536,1.181,financeiro,previdencia_e_seguros,seguradoras,894655692.1058029,0.7507721036447238,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
BBDC3,BRADESCO,ON      N1,1508883586,0.972,financeiro,intermediarios_financeiros,bancos,894655692.1058029,1.6865522673291815,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
BBDC4,BRADESCO,PN      N1,5156077326,3.725,financeiro,intermediarios_financeiros,bancos,894655692.1058029,5.763197363517402,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
BBAS3,BRASIL,ON      NM,1420731069,2.992,financeiro,intermediarios_financeiros,bancos,894655692.1058029,1.588019929383049,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
BRKM5,BRASKEM,PNA     N1,265212486,0.28,materiais_basicos,quimicos,petroquimicos,894655692.1058029,0.2964408412534145,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
BPAC11,BTGP BANCO,UNT     N2,1225470424,1.314,OTHERS,OTHERS,OTHERS,894655692.1058029,1.369767648955029,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.246,OTHERS,OTHERS,OTHERS,894655692.1058029,0.5784348152772943,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CRFB3,CARREFOUR BR,ON      NM,528743156,0.36,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,894655692.1058029,0.5910018353043355,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CCRO3,CCR SA,ON      NM,998462635,0.671,bens_industriais,transporte,exploracao_de_rodovias,894655692.1058029,1.1160300479951797,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CMIG3,CEMIG,ON  EJ  N1,360768393,0.327,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,0.4032483067880992,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CMIG4,CEMIG,PN  EJ  N1,1442098974,0.884,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,1.6119038717628322,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CIEL3,CIELO,ON      NM,1095401258,0.296,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,894655692.1058029,1.2243830421753543,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CPLE6,COPEL,PNB     N2,1563365506,0.592,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,1.747449348162326,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CSAN3,COSAN,ON      NM,1171063698,0.981,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,894655692.1058029,1.30895461609773,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.323,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,0.20983775060786017,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
CMIN3,CSNMINERACAO,ON      N2,1110550596,0.287,OTHERS,OTHERS,OTHERS,894655692.1058029,1.2413161910209645,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ELET3,ELETROBRAS,ON      N1,2021119463,3.699,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,2.259103117359902,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ELET6,ELETROBRAS,PNB     N1,275526814,0.543,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,0.3079696652367757,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ENGI11,ENERGISA,UNT ED  N2,248477689,0.536,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,0.27773554809129275,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ENEV3,ENEVA,ON      NM,1576898490,0.91,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,1.7625758198535157,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
EGIE3,ENGIE BRASIL,ON      NM,255208461,0.556,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,0.2852588579627779,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
EQTL3,EQUATORIAL,ON      NM,1100513485,1.608,utilidade_publica,energia_eletrica,energia_eletrica,894655692.1058029,1.230097225905597,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
GGBR4,GERDAU,PN  EB  N1,1147768260,1.58,materiais_basicos,siderurgia_e_metalurgia,siderurgia,894655692.1058029,1.282916176723172,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
NTCO3,GRUPO NATURA,ON      NM,835961011,0.616,consumo_nao_ciclico,produtos_de_uso_pessoal_e_de_limpeza,produtos_de_uso_pessoal,894655692.1058029,0.9343941120324738,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
HAPV3,HAPVIDA,ON      NM,4455957762,0.674,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,894655692.1058029,4.980639816320571,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
HYPE3,HYPERA,ON  EJ  NM,400842480,0.857,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,894655692.1058029,0.44804105482916434,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ITSA4,ITAUSA,PN  EJ  N1,5233076295,2.305,financeiro,intermediarios_financeiros,bancos,894655692.1058029,5.849262840638286,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ITUB3,ITAUUNIBANCO,ON  EJ  N1,384272066,0.435,financeiro,intermediarios_financeiros,bancos,894655692.1058029,0.4295195005080855,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
ITUB4,ITAUUNIBANCO,PN  EJ  N1,4801489940,6.382,financeiro,intermediarios_financeiros,bancos,894655692.1058029,5.366857867632246,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
JBSS3,JBS,ON      NM,1134986483,1.116,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,894655692.1058029,1.2686293654808327,2023-03-31,2023-03-31,CARTEIRA_TEORICA_B3_MLCX
