ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4394835131,3.045,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,752172400.4158219,5.842856143844699,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
AMBP3,AMBIPAR,ON      NM,36932489,0.266,utilidade_publica,agua_e_saneamento,agua_e_saneamento,752172400.4158219,0.049101095679105866,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
B3SA3,B3,ON      NM,5200055464,3.234,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,752172400.4158219,6.913382438820228,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
BBSE3,BBSEGURIDADE,ON      NM,637332335,1.313,financeiro,previdencia_e_seguros,seguradoras,752172400.4158219,0.8473221493472306,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
BBDC3,BRADESCO,ON      N1,1469064981,0.848,financeiro,intermediarios_financeiros,bancos,752172400.4158219,1.953096098963296,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
BBDC4,BRADESCO,PN      N1,5111682020,3.303,financeiro,intermediarios_financeiros,bancos,752172400.4158219,6.795891496649065,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
BBAS3,BRASIL,ON      NM,2842613858,4.004,financeiro,intermediarios_financeiros,bancos,752172400.4158219,3.7792052146934982,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
BRFS3,BRF SA,ON      NM,832617717,0.873,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,752172400.4158219,1.10695063597083,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
BPAC11,BTGP BANCO,UNT     N2,1287247964,2.24,OTHERS,OTHERS,OTHERS,752172400.4158219,1.7113735671348396,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CXSE3,CAIXA SEGURI,ON      NM,600000000,0.478,financeiro,previdencia_e_seguros,seguradoras,752172400.4158219,0.7976894654314666,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CRFB3,CARREFOUR BR,ON      NM,583038411,0.245,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,752172400.4158219,0.7751393306610028,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CCRO3,CCR SA,ON      NM,991920937,0.627,bens_industriais,transporte,exploracao_de_rodovias,752172400.4158219,1.3187414699763491,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CMIG4,CEMIG,PN      N1,1858636840,0.971,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,2.4710250455513836,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CPLE3,COPEL,ON      N2,1293575090,0.648,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,1.719785370062602,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CPLE6,COPEL,PNB     N2,1671982390,0.924,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,2.2228712314832095,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.365,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,0.24958711313552082,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
CMIN3,CSNMINERACAO,ON      N2,1646519336,0.497,OTHERS,OTHERS,OTHERS,752172400.4158219,2.1890185482606888,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ELET3,ELETROBRAS,ON      N1,1977170723,4.186,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,2.628613761827694,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ELET6,ELETROBRAS,PNB     N1,268875696,0.617,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,0.35746551701625584,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
EMBR3,EMBRAER,ON      NM,734631701,2.409,bens_industriais,material_de_transporte,material_aeronautico_e_de_defesa,752172400.4158219,0.9766799480994983,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ENGI11,ENERGISA,UNT     N2,326175300,0.703,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,0.43364433448991374,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ENEV3,ENEVA,ON      NM,1907494195,1.193,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,2.535980041205293,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
EGIE3,ENGIE BRASIL,ON      NM,255236938,0.512,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,0.3393330277193073,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
EQTL3,EQUATORIAL,ON      NM,1244304866,2.169,utilidade_publica,energia_eletrica,energia_eletrica,752172400.4158219,1.6542814723221877,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
GGBR4,GERDAU,PN      N1,1242683687,0.944,materiais_basicos,siderurgia_e_metalurgia,siderurgia,752172400.4158219,1.6521261433057233,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
GMAT3,GRUPO MATEUS,ON      NM,461916853,0.174,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,752172400.4158219,0.6141103459055922,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
HAPV3,HAPVIDA,ON      NM,4668258132,0.523,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,752172400.4158219,6.206367223018628,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ISAE4,ISA ENERGIA,PN      N1,395801044,0.45,OTHERS,OTHERS,OTHERS,752172400.4158219,0.5262105386759607,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ITSA4,ITAUSA,PN      N1,5857796242,2.945,financeiro,intermediarios_financeiros,bancos,752172400.4158219,7.7878372548123895,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ITUB3,ITAUUNIBANCO,ON      N1,442845595,0.646,financeiro,intermediarios_financeiros,bancos,752172400.4158219,0.5887554432403829,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
ITUB4,ITAUUNIBANCO,PN      N1,5278291533,8.766,financeiro,intermediarios_financeiros,bancos,752172400.4158219,7.0173959189170105,MAI/2025 ATE AGO/2025 - 20250416,2025-04-26,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_MLCX
