ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4394835131,2.554,803180598.4915018,5.471789457133532,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
B3SA3,B3,ON      NM,5511401013,3.158,803180598.4915018,6.861969802745819,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBAS3,BRASIL,ON  EX  NM,2842613858,3.612,803180598.4915018,3.5391963692087076,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBDC3,BRADESCO,ON      N1,1484426957,0.949,803180598.4915018,1.8481857751394704,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBDC4,BRADESCO,PN      N1,5129958973,3.626,803180598.4915018,6.38705539281559,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBSE3,BBSEGURIDADE,ON      NM,637332335,1.058,803180598.4915018,0.7935106203972174,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BPAC11,BTGP BANCO,UNT     N2,1287247964,2.068,803180598.4915018,1.6026880709240887,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BRFS3,BRF SA,ON      NM,814523002,0.965,803180598.4915018,1.014121859429624,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CCRO3,CCR SA,ON      NM,991920937,0.594,803180598.4915018,1.234991157484359,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CMIG3,CEMIG,ON  ED  N1,469002659,0.305,803180598.4915018,0.5839317581635562,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CMIG4,CEMIG,PN  ED  N1,1858636840,0.977,803180598.4915018,2.3140957880342343,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CMIN3,CSNMINERACAO,ON      N2,1110559345,0.285,803180598.4915018,1.382701906751487,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CPFE3,CPFL ENERGIA,ON      NM,187732538,0.289,803180598.4915018,0.23373639546646288,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CPLE3,COPEL,ON      N2,1300330190,0.551,803180598.4915018,1.6189760963377633,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CPLE6,COPEL,PNB     N2,1679233590,0.791,803180598.4915018,2.0907297725491154,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CRFB3,CARREFOUR BR,ON      NM,531901983,0.216,803180598.4915018,0.6622445611846137,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CSAN3,COSAN,ON      NM,1165337843,0.704,803180598.4915018,1.450903875403223,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CSNA3,SID NACIONAL,ON,736268400,0.395,803180598.4915018,0.9166909676140418,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CXSE3,CAIXA SEGURI,ON      NM,517500000,0.382,803180598.4915018,0.6443133723249111,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
EGIE3,ENGIE BRASIL,ON  ED  NM,255236938,0.521,803180598.4915018,0.3177827483375155,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
ELET3,ELETROBRAS,ON      N1,1977170723,3.73,803180598.4915018,2.4616763984506527,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
ELET6,ELETROBRAS,PNB     N1,268733136,0.56,803180598.4915018,0.33458618958765024,SET/2024 ATE DEZ/2024,2025-01-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
