ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ABEV3,AMBEV S/A,ON,4386652506,3.433,consumo_nao_ciclico,bebidas,cervejas_e_refrigerantes,871077608.7285833,5.035891707057786,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
ASAI3,ASSAI,ON  ED  NM,1190824431,0.809,OTHERS,OTHERS,OTHERS,871077608.7285833,1.3670704183730726,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
AURE3,AUREN,ON      NM,301966318,0.263,OTHERS,OTHERS,OTHERS,871077608.7285833,0.3466583401687333,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
B3SA3,B3,ON      NM,5733398051,3.701,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,871077608.7285833,6.581960084324075,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBAS3,BRASIL,ON      NM,1420731069,3.365,financeiro,intermediarios_financeiros,bancos,871077608.7285833,1.6310040055715422,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBDC3,BRADESCO,ON      N1,1500631902,1.03,financeiro,intermediarios_financeiros,bancos,871077608.7285833,1.722730428337273,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBDC4,BRADESCO,PN      N1,5146612491,3.939,financeiro,intermediarios_financeiros,bancos,871077608.7285833,5.9083283044227795,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BBSE3,BBSEGURIDADE,ON      NM,671682536,1.274,financeiro,previdencia_e_seguros,seguradoras,871077608.7285833,0.7710937914939422,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BPAC11,BTGP BANCO,UNT     N2,1225470424,1.586,OTHERS,OTHERS,OTHERS,871077608.7285833,1.406844133886859,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
BRKM5,BRASKEM,PNA     N1,265212486,0.29,materiais_basicos,quimicos,petroquimicos,871077608.7285833,0.30446481845297535,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CCRO3,CCR SA,ON  ED  NM,998462635,0.749,bens_industriais,transporte,exploracao_de_rodovias,871077608.7285833,1.1462384350085024,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
CIEL3,CIELO,ON      NM,1095401258,0.331,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,871077608.7285833,1.2575242975179184,MAI/2023 ATE AGO/2023,2023-07-08,CARTEIRA_TEORICA_B3_QUADRIMESTRE_MLCX
