ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,200453863,2.463,132615438.2039068,1.5115424396651784,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
TTEN3,3TENTOS,ON      NM,112343586,0.413,132615438.2039068,0.8471380671929221,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
ABCB4,ABC BRASIL,PN      N2,67449065,0.441,132615438.2039068,0.5086064331084266,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
AERI3,AERIS,ON      NM,227070796,0.187,132615438.2039068,1.7122500899997823,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
AESB3,AES BRASIL,ON      NM,324190156,1.045,132615438.2039068,2.444588355554289,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
ALSO3,ALIANSCSONAE,ON      NM,122470927,0.758,132615438.2039068,0.9235042967749441,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
AALR3,ALLIAR,ON      NM,42288232,0.275,132615438.2039068,0.31887865072676136,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
ALUP11,ALUPAR,UNT     N2,140050337,1.32,132615438.2039068,1.056063599357576,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
AMBP3,AMBIPAR,ON      NM,43853759,0.419,132615438.2039068,0.3306836639379146,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
ANIM3,ANIMA,ON      NM,272558877,0.495,132615438.2039068,2.0552575227396903,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
ARZZ3,AREZZO CO,ON      NM,60358029,1.888,132615438.2039068,0.45513576562024943,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
ARML3,ARMAC,ON      NM,171266914,0.938,132615438.2039068,1.2914553261639379,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
AZUL4,AZUL,PN      N2,327646296,1.888,132615438.2039068,2.4706497255335966,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
BPAN4,BANCO PAN,PN      N1,341549703,0.903,132615438.2039068,2.575489759154889,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
BRSR6,BANRISUL,PNB EJ  N1,202535840,0.784,132615438.2039068,1.5272417958502313,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
BMOB3,BEMOBI TECH,ON      NM,84429318,0.418,132615438.2039068,0.6366477322963198,2022-09-13,2022-09-13,CARTEIRA_TEORICA_B3_SMLL
