ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,235665566,2.063,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,127608643.941215,1.8467837187311793,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
TTEN3,3TENTOS,ON      NM,113777586,0.456,consumo_nao_ciclico,agropecuaria,agricultura,127608643.941215,0.8916134713602435,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ABCB4,ABC BRASIL,PN  EJS N2,74288668,0.6,financeiro,intermediarios_financeiros,bancos,127608643.941215,0.582160155500299,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
AESB3,AES BRASIL,ON      NM,317103937,1.301,utilidade_publica,energia_eletrica,energia_eletrica,127608643.941215,2.484972233903521,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
AALR3,ALLIAR,ON      NM,7916084,0.027,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,127608643.941215,0.06203407351971136,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ALOS3,ALLOS,ON      NM,532616595,4.71,OTHERS,OTHERS,OTHERS,127608643.941215,4.173828500562693,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ALPA4,ALPARGATAS,PN      N1,176733968,0.596,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,127608643.941215,1.3849686239234342,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ALUP11,ALUPAR,UNT     N2,145652313,1.528,utilidade_publica,energia_eletrica,energia_eletrica,127608643.941215,1.141398486039058,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
AMBP3,AMBIPAR,ON      NM,55695890,0.301,utilidade_publica,agua_e_saneamento,agua_e_saneamento,127608643.941215,0.43645859935363956,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ANIM3,ANIMA,ON      NM,256834750,0.381,consumo_ciclico,diversos,servicos_educacionais,127608643.941215,2.0126751767561695,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ARZZ3,AREZZO CO,ON      NM,62305891,1.339,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,127608643.941215,0.4882576060341353,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ARML3,ARMAC,ON  EJ  NM,171399108,0.971,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,127608643.941215,1.3431622083450538,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
AZUL4,AZUL,PN      N2,327593725,1.747,bens_industriais,transporte,transporte_aereo,127608643.941215,2.567175035187361,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
BPAN4,BANCO PAN,PN  EJ  N1,327696379,0.943,financeiro,intermediarios_financeiros,bancos,127608643.941215,2.5679794791249306,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
BRSR6,BANRISUL,PNB     N1,202191040,0.899,financeiro,intermediarios_financeiros,bancos,127608643.941215,1.5844619436058156,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
BMOB3,BEMOBI TECH,ON  EJ  NM,83018918,0.387,tecnologia_da_informacao,programas_e_servicos,programas_e_servicos,127608643.941215,0.6505744080960849,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
BLAU3,BLAU,ON      NM,29830740,0.163,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,127608643.941215,0.23376739285578504,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
BRAP4,BRADESPAR,PN      N1,251003438,2.145,materiais_basicos,mineracao,minerais_metalicos,127608643.941215,1.9669783350697532,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
AGRO3,BRASILAGRO,ON      NM,63773043,0.567,consumo_nao_ciclico,agropecuaria,agricultura,127608643.941215,0.4997548836063025,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CAML3,CAMIL,ON      NM,97829997,0.275,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,127608643.941215,0.7666408323018227,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
BHIA3,CASAS BAHIA,ON      NM,94843047,0.359,OTHERS,OTHERS,OTHERS,127608643.941215,0.7432337188983138,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CBAV3,CBA,ON      NM,191350000,0.325,materiais_basicos,mineracao,minerais_metalicos,127608643.941215,1.4995065701673667,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CEAB3,CEA MODAS,ON      NM,103292235,0.27,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,127608643.941215,0.8094454404482446,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CIEL3,CIELO,ON  EJ  NM,1095462329,1.69,financeiro,servicos_financeiros_diversos,servicos_financeiros_diversos,127608643.941215,8.584546431702876,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
COGN3,COGNA ON,ON      NM,1814920980,2.11,consumo_ciclico,diversos,servicos_educacionais,127608643.941215,14.222555180792243,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CSMG3,COPASA,ON  EJ  NM,188462398,1.285,utilidade_publica,agua_e_saneamento,agua_e_saneamento,127608643.941215,1.4768779933655456,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CURY3,CURY S/A,ON      NM,120291325,0.721,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,0.9426581247537915,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CVCB3,CVC BRASIL,ON      NM,525582771,0.613,consumo_ciclico,viagens_e_lazer,viagens_e_turismo,127608643.941215,4.118708222008207,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CYRE3,CYRELA REALT,ON      NM,265784616,2.132,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,2.082810441292974,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
DASA3,DASA,ON      NM,142275891,0.456,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,127608643.941215,1.1149392909898934,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
DXCO3,DEXCO,ON  EJ  NM,302768240,0.813,materiais_basicos,madeira_e_papel,madeira,127608643.941215,2.3726311215992166,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
PNVL3,DIMED,ON  EJ  NM,71294090,0.317,saude,comercio_e_distribuicao,medicamentos_e_outros_produtos,127608643.941215,0.5586932655819365,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
DIRR3,DIRECIONAL,ON      NM,107596799,0.802,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,0.8431779829081659,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ECOR3,ECORODOVIAS,ON      NM,333657615,1.047,bens_industriais,transporte,exploracao_de_rodovias,127608643.941215,2.6146944650058725,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ENAT3,ENAUTA PART,ON      NM,171594761,1.148,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,exploracao_refino_e_distribuicao,127608643.941215,1.344695435201458,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
ESPA3,ESPACOLASER,ON      NM,188667444,0.077,consumo_ciclico,comercio,produtos_diversos,127608643.941215,1.4784848280882348,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
EVEN3,EVEN,ON  ED  NM,190346865,0.52,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,1.4916455431317521,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
EZTC3,EZTEC,ON      NM,91514307,0.57,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,0.7171481819222024,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
FESA4,FERBASA,PN  EJ  N1,40495100,0.627,materiais_basicos,siderurgia_e_metalurgia,siderurgia,127608643.941215,0.31733822058836963,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
FLRY3,FLEURY,ON      NM,240822651,1.447,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,127608643.941215,1.887197007680286,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
FRAS3,FRAS-LE,ON  EJ  N1,89492359,0.507,bens_industriais,material_de_transporte,material_rodoviario,127608643.941215,0.7013032678352582,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
GFSA3,GAFISA,ON      NM,61184833,0.212,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,0.47947248015726734,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
GOAU4,GERDAU MET,PN      N1,660411219,2.389,materiais_basicos,siderurgia_e_metalurgia,siderurgia,127608643.941215,5.175285925804753,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
GOLL4,GOL,PN      N2,198184909,0.592,bens_industriais,transporte,transporte_aereo,127608643.941215,1.5530680593337949,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
GGPS3,GPS,ON      NM,366447063,2.3,bens_industriais,servicos_diversos,servicos_diversos,127608643.941215,2.8716476539693487,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
GRND3,GRENDENE,ON      NM,268150259,0.631,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,127608643.941215,2.101348707408315,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
SBFG3,GRUPO SBF,ON      NM,146019325,0.57,consumo_ciclico,comercio,produtos_diversos,127608643.941215,1.1442745607990803,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
SOMA3,GRUPO SOMA,ON      NM,496029967,1.231,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,127608643.941215,3.887118863425148,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
GUAR3,GUARARAPES,ON      NM,81927760,0.179,consumo_ciclico,comercio,tecidos_vestuario_e_calcados,127608643.941215,0.642023592365274,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
HBSA3,HIDROVIAS,ON      NM,759856429,0.997,bens_industriais,transporte,transporte_hidroviario,127608643.941215,5.9545843097434705,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
IGTI11,IGUATEMI S.A,UNT     N1,217622138,1.767,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,127608643.941215,1.7053871217395837,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
IFCM3,INFRACOMM,ON      NM,531378708,0.327,tecnologia_da_informacao,programas_e_servicos,programas_e_servicos,127608643.941215,4.164127848931521,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
INTB3,INTELBRAS,ON  EJ  NM,114430507,0.838,tecnologia_da_informacao,computadores_e_equipamentos,computadores_e_equipamentos,127608643.941215,0.8967300604864533,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
MYPK3,IOCHP-MAXION,ON      NM,130262282,0.56,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,127608643.941215,1.0207951277972003,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
RANI3,IRANI,ON      NM,102762865,0.374,materiais_basicos,embalagens,embalagens,127608643.941215,0.8052970537586732,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
IRBR3,IRBBRASIL RE,ON      NM,81838843,1.207,financeiro,previdencia_e_seguros,resseguradoras,127608643.941215,0.641326797875075,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
JALL3,JALLESMACHAD,ON      NM,96179129,0.251,consumo_nao_ciclico,alimentos_processados,acucar_e_alcool,127608643.941215,0.7537038716931,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
JHSF3,JHSF PART,ON  ED  NM,299252184,0.555,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,2.345077690331506,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
KEPL3,KEPLER WEBER,ON      NM,176561116,0.643,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,127608643.941215,1.3836140761854328,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
LAVV3,LAVVI,ON      NM,73850129,0.217,consumo_ciclico,construcao_civil,incorporacoes,127608643.941215,0.578723562284858,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
LWSA3,LOCAWEB,ON      NM,393173139,0.787,tecnologia_da_informacao,programas_e_servicos,programas_e_servicos,127608643.941215,3.081085472400456,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
LOGG3,LOG COM PROP,ON      NM,60865948,0.462,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,127608643.941215,0.47697355069488,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
AMAR3,LOJAS MARISA,ON      NM,31628685,0.039,OTHERS,OTHERS,OTHERS,127608643.941215,0.2478569164528562,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
LUPA3,LUPATECH,ON      NM,33506588,0.025,petroleo_gas_e_biocombustiveis,petroleo_gas_e_biocombustiveis,equipamentos_e_servicos,127608643.941215,0.2625730276973663,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
MDIA3,M.DIASBRANCO,ON  EJ  NM,66033716,0.85,consumo_nao_ciclico,alimentos_processados,alimentos_diversos,127608643.941215,0.5174705565433287,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
POMO4,MARCOPOLO,PN  EJ  N2,555446291,1.304,bens_industriais,material_de_transporte,material_rodoviario,127608643.941215,4.352732494014084,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
MRFG3,MARFRIG,ON      NM,331799687,1.072,consumo_nao_ciclico,alimentos_processados,carnes_e_derivados,127608643.941215,2.6001348870445558,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
MATD3,MATER DEI,ON      NM,108589172,0.302,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,127608643.941215,0.8509546739641194,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
CASH3,MELIUZ,ON      NM,69209595,0.183,tecnologia_da_informacao,programas_e_servicos,programas_e_servicos,127608643.941215,0.5423582044479881,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
LEVE3,METAL LEVE,ON  EJ  NM,52865876,0.622,consumo_ciclico,automoveis_e_motocicletas,automoveis_e_motocicletas,127608643.941215,0.4142813085950003,2024-01-02,2023-12-31,CARTEIRA_TEORICA_B3_SMLL
