ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
RRRP3,3R PETROLEUM,ON      NM,235516123,2.73,130697241.50031644,1.8019976573065606,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
TTEN3,3TENTOS,ON      NM,113777586,0.469,130697241.50031644,0.8705431323102908,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ABCB4,ABC BRASIL,PN      N2,66477466,0.405,130697241.50031644,0.5086371008055212,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
AERI3,AERIS,ON      NM,212842474,0.083,130697241.50031644,1.628515426620421,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
AESB3,AES BRASIL,ON      NM,317103937,1.228,130697241.50031644,2.4262481239837967,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ALSO3,ALIANSCSONAE,ON      NM,532616595,4.222,130697241.50031644,4.075193851728772,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
AALR3,ALLIAR,ON      NM,43234213,0.34,130697241.50031644,0.33079667561228004,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ALPA4,ALPARGATAS,PN      N1,208965950,0.656,130697241.50031644,1.5988550913639141,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ALUP11,ALUPAR,UNT     N2,145652351,1.383,130697241.50031644,1.114425594052399,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
AMBP3,AMBIPAR,ON      NM,43853759,0.301,130697241.50031644,0.33553698989043945,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ANIM3,ANIMA,ON      NM,256157317,0.402,130697241.50031644,1.9599290242049967,SET/2023 ATE DEZ/2023 - 20230801,2023-08-05,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
