ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
TTEN3,3TENTOS,ON      NM,112455686,0.577,consumo_nao_ciclico,agropecuaria,agricultura,152322429.53404647,0.7382739780608895,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ABCB4,ABC BRASIL,PN      N2,73106941,0.496,financeiro,intermediarios_financeiros,bancos,152322429.53404647,0.4799486275503467,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
AERI3,AERIS,ON      NM,35461088,0.05,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,152322429.53404647,0.2328027993544699,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ALOS3,ALLOS,ON  ED  NM,476976044,3.187,OTHERS,OTHERS,OTHERS,152322429.53404647,3.1313579061144656,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ALPA4,ALPARGATAS,PN      N1,153041091,0.356,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,152322429.53404647,1.0047180278580896,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ALUP11,ALUPAR,UNT EDB N2,157537587,1.509,utilidade_publica,energia_eletrica,energia_eletrica,152322429.53404647,1.0342376200399814,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ANIM3,ANIMA,ON  ED  NM,256712285,0.249,consumo_ciclico,diversos,servicos_educacionais,152322429.53404647,1.6853216285039674,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ARML3,ARMAC,ON      NM,171598756,0.251,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,152322429.53404647,1.1265494945486343,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
ASAI3,ASSAI,ON  ED  NM,1345897506,3.865,consumo_nao_ciclico,comercio_e_distribuicao,alimentos,152322429.53404647,8.835845844351969,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
AURE3,AUREN,ON  ED  NM,323738747,0.898,utilidade_publica,energia_eletrica,energia_eletrica,152322429.53404647,2.125351781679922,MAI/2025 ATE AGO/2025 - 20250430,2025-05-03,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_SMLL
