ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AALR3,ALLIAR,ON      NM,42015455,0.326,saude,servicos_medico__hospitalares_analises_e_diagnosticos,servicos_medico__hospitalares_analises_e_diagnosticos,138603558.78387985,0.3031340275000685,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
ABCB4,ABC BRASIL,PN      N2,67562128,0.469,financeiro,intermediarios_financeiros,bancos,138603558.78387985,0.4874487249302703,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
AERI3,AERIS,ON      NM,227070796,0.092,bens_industriais,maquinas_e_equipamentos,maq_e_equip_industriais,138603558.78387985,1.6382753660320102,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
AESB3,AES BRASIL,ON      NM,315209392,1.093,OTHERS,OTHERS,OTHERS,138603558.78387985,2.2741796442001614,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
AGRO3,BRASILAGRO,ON      NM,59212546,0.637,consumo_nao_ciclico,agropecuaria,agricultura,138603558.78387985,0.4272079773386501,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
ALPA4,ALPARGATAS,PN      N1,202765994,1.098,consumo_ciclico,tecidos_vestuario_e_calcados,calcados,138603558.78387985,1.4629205467672486,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
ALSO3,ALIANSCSONAE,ON      NM,122470927,0.748,financeiro,exploracao_de_imoveis,exploracao_de_imoveis,138603558.78387985,0.8836059338921092,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
ALUP11,ALUPAR,UNT     N2,140050337,1.42,utilidade_publica,energia_eletrica,energia_eletrica,138603558.78387985,1.0104382472485867,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
AMAR3,LOJAS MARISA,ON      NM,156188662,0.07,OTHERS,OTHERS,OTHERS,138603558.78387985,1.1268733888971787,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
AMBP3,AMBIPAR,ON      NM,43853759,0.329,utilidade_publica,agua_e_saneamento,agua_e_saneamento,138603558.78387985,0.31639706357309183,JAN/2023 ATE ABR/2023,2023-02-19,CARTEIRA_TEORICA_B3_QUADRIMESTRE_SMLL
