ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,315209392,1.451,23940211.82235427,13.166524771751266,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
ALUP11,ALUPAR,UNT ED  N2,145652351,1.752,23940211.82235427,6.084004272008844,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
AMBP3,AMBIPAR,ON      NM,43853759,0.417,23940211.82235427,1.831803299211053,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
AURE3,AUREN,ON      NM,301966318,1.747,23940211.82235427,12.61335197201713,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
CMIG3,CEMIG,ON      N1,360768393,3.062,23940211.82235427,15.06955726528414,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
CMIG4,CEMIG,PN      N1,1442098974,7.405,23940211.82235427,60.23751939627511,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
CSMG3,COPASA,ON      NM,188469206,1.479,23940211.82235427,7.872495339578246,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
CPLE6,COPEL,PNB     N2,1563365506,5.822,23940211.82235427,65.30291033349175,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
CPFE3,CPFL ENERGIA,ON  ED  NM,187732538,2.764,23940211.82235427,7.8417241832715945,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
ELET3,ELETROBRAS,ON      N1,1136581945,16.829,23940211.82235427,47.47585165218597,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
ELET6,ELETROBRAS,PNB     N1,155105550,2.525,23940211.82235427,6.478871246041757,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
ENGI11,ENERGISA,UNT ED  N2,248477689,5.051,23940211.82235427,10.379093169425634,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
ENEV3,ENEVA,ON      NM,1577877205,8.473,23940211.82235427,65.90907451899197,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
EGIE3,ENGIE BRASIL,ON      NM,255208461,4.536,23940211.82235427,10.660242394417667,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
EQTL3,EQUATORIAL,ON      NM,1115920673,14.958,23940211.82235427,46.6128153451844,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
NEOE3,NEOENERGIA,ON      NM,196252888,1.607,23940211.82235427,8.197625378433289,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
MEGA3,OMEGAENERGIA,ON      NM,336491611,1.532,23940211.82235427,14.055498485013388,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
ORVR3,ORIZON,ON      NM,45569362,0.684,23940211.82235427,1.9034652800126617,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
SBSP3,SABESP,ON      NM,340002999,8.511,23940211.82235427,14.202171706873573,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
SAPR11,SANEPAR,UNT     N2,201081484,1.891,23940211.82235427,8.399319333183149,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
TAEE11,TAESA,UNT     N2,218568234,3.224,23940211.82235427,9.129753555309442,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
TRPL4,TRAN PAULIST,PN      N1,395794140,4.28,23940211.82235427,16.532608104596036,2023-08-18,2023-08-18,CARTEIRA_TEORICA_B3_UTIL
