ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,317103937,1.119,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,11.841394481052673,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
ALUP11,ALUPAR,UNT ED  N2,151478405,1.478,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,5.656554018014799,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
AMBP3,AMBIPAR,ON      NM,55695890,1.426,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26779273.12593087,2.079813359312902,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
AURE3,AUREN,ON      NM,301966319,1.077,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,11.276120811046225,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
CMIG3,CEMIG,ON      N1,469002627,2.028,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,17.51364291310267,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
CMIG4,CEMIG,PN      N1,1868640510,6.874,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,69.77935888000486,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
CSMG3,COPASA,ON      NM,188462398,1.348,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26779273.12593087,7.037621862017917,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
CPLE3,COPEL,ON      N2,1300330190,3.843,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,48.557337007809444,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
CPLE6,COPEL,PNB     N2,1679233590,5.492,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,62.70646638179162,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
CPFE3,CPFL ENERGIA,ON      NM,187732538,1.93,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,7.010367201423965,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
ELET3,ELETROBRAS,ON      N1,1202709628,15.392,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,44.911959422654895,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
ELET6,ELETROBRAS,PNB     N1,163477321,2.325,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,6.104621295404088,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
ENGI11,ENERGISA,UNT ED  N2,326265871,4.969,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,12.183522288514643,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
ENEV3,ENEVA,ON      NM,1579630820,6.695,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,58.98706856499454,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
EGIE3,ENGIE BRASIL,ON      NM,255236961,3.671,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,9.531138496543033,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
EQTL3,EQUATORIAL,ON  ES  NM,1231585709,13.645,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,45.990259078669034,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
NEOE3,NEOENERGIA,ON      NM,196255894,1.164,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,7.328649029310722,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
ORVR3,ORIZON,ON      NM,46306572,0.681,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26779273.12593087,1.7291945073430868,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
SBSP3,SABESP,ON      NM,531714843,16.368,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26779273.12593087,19.855462114284595,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
SAPR11,SANEPAR,UNT     N2,201081482,1.784,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26779273.12593087,7.5088476469993894,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
SRNA3,SERENA,ON      NM,425559822,1.197,OTHERS,OTHERS,OTHERS,26779273.12593087,15.891388089541627,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
TAEE11,TAESA,UNT EDJ N2,218568234,2.405,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,8.161843414202169,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
TRPL4,TRAN PAULIST,PN      N1,395801044,3.089,utilidade_publica,energia_eletrica,energia_eletrica,26779273.12593087,14.780126485835735,2024-08-21,2024-08-21,CARTEIRA_TEORICA_B3_UTIL
