ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,317103937,1.109,25304073.70132362,12.531734642529623,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ALUP11,ALUPAR,UNT     N2,145652313,1.631,25304073.70132362,5.756081598528585,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
AMBP3,AMBIPAR,ON      NM,55695890,0.236,25304073.70132362,2.201064170829009,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
AURE3,AUREN,ON      NM,301966319,1.344,25304073.70132362,11.933506144672846,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CMIG3,CEMIG,ON      N1,360771252,2.042,25304073.70132362,14.25743760701774,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CMIG4,CEMIG,PN      N1,1437415777,7.016,25304073.70132362,56.80570622606157,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CSMG3,COPASA,ON      NM,188462398,1.512,25304073.70132362,7.447907409080214,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CPLE3,COPEL,ON      N2,1300347300,4.013,25304073.70132362,51.388852061871,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CPLE6,COPEL,PNB     N2,1679233590,5.827,25304073.70132362,66.3621838056914,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CPFE3,CPFL ENERGIA,ON      NM,187732538,2.483,25304073.70132362,7.419063832009783,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ELET3,ELETROBRAS,ON      N1,1197704603,17.35,25304073.70132362,47.33248160502116,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ELET6,ELETROBRAS,PNB     N1,162797018,2.65,25304073.70132362,6.433628826787851,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ENGI11,ENERGISA,UNT     N2,326265871,5.722,25304073.70132362,12.893808121612192,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ENEV3,ENEVA,ON      NM,1579609876,7.282,25304073.70132362,62.425121529636264,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
EGIE3,ENGIE BRASIL,ON      NM,255236961,3.977,25304073.70132362,10.086793297106501,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
EQTL3,EQUATORIAL,ON      NM,1138106440,13.488,25304073.70132362,44.97720222576127,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
NEOE3,NEOENERGIA,ON      NM,196255894,1.503,25304073.70132362,7.755901137362485,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ORVR3,ORIZON,ON      NM,46265755,0.624,25304073.70132362,1.8283915683339123,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
SBSP3,SABESP,ON      NM,340001799,10.32,25304073.70132362,13.43664277195869,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
SAPR11,SANEPAR,UNT     N2,201081482,1.884,25304073.70132362,7.946605134551189,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
SRNA3,SERENA,ON      NM,334702211,1.071,25304073.70132362,13.227206613079545,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
TAEE11,TAESA,UNT     N2,218568234,2.946,25304073.70132362,8.6376698305525,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
TRPL4,TRAN PAULIST,PN      N1,395801044,3.968,25304073.70132362,15.64179146298077,MAI/2024 ATE AGO/2024 - 20240416,2024-04-20,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
