ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
ALUP11,ALUPAR,UNT     N2,157537587,1.277,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,6.001303883260104,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
AMBP3,AMBIPAR,ON      NM,372986730,1.342,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26250559.88906538,14.208715226503298,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
AURE3,AUREN,ON      NM,318338365,0.932,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,12.126917153207206,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CMIG4,CEMIG,PN      N1,1904057894,5.792,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,72.53399173375847,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CSMG3,COPASA,ON      NM,188467895,1.508,utilidade_publica,agua_e_saneamento,agua_e_saneamento,26250559.88906538,7.179576199382549,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CPLE3,COPEL,ON      N2,1293574330,4.013,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,49.27797104010859,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CPLE6,COPEL,PNB     N2,1671982390,5.573,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,63.693208718815214,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
CPFE3,CPFL ENERGIA,ON      NM,187732538,2.028,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,7.151563196874883,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ELET3,ELETROBRAS,ON      N1,1459945562,17.452,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,55.61578755537848,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
ELET6,ELETROBRAS,PNB     N1,200002218,2.548,utilidade_publica,energia_eletrica,energia_eletrica,26250559.88906538,7.618969608465781,SET/2025 ATE DEZ/2025 - 20250828,2025-08-30,CARTEIRA_TEORICA_B3_PREVIA_QUADRIMESTRE_UTIL
