ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,317103937,1.483,23532887.35672312,13.474926905193657,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ALUP11,ALUPAR,UNT     N2,145652313,1.742,23532887.35672312,6.18930906319018,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
AMBP3,AMBIPAR,ON      NM,55695890,0.344,23532887.35672312,2.3667257296452497,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
AURE3,AUREN,ON      NM,301966319,1.526,23532887.35672312,12.831673156916342,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CMIG3,CEMIG,ON  EJ  N1,360771252,2.072,23532887.35672312,15.330513699031119,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CMIG4,CEMIG,PN  EJ  N1,1437415777,6.264,23532887.35672312,61.081148063598924,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CPFE3,CPFL ENERGIA,ON      NM,187732538,2.745,23532887.35672312,7.977454493970823,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CPLE6,COPEL,PNB     N2,1679335290,6.605,23532887.35672312,71.36120887096457,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CSMG3,COPASA,ON  EJ  NM,188462398,1.465,23532887.35672312,8.00846896274112,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
EGIE3,ENGIE BRASIL,ON  EJ  NM,255236961,4.392,23532887.35672312,10.845968755596889,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ELET3,ELETROBRAS,ON      N1,1075434179,17.323,23532887.35672312,45.6992022567413,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ELET6,ELETROBRAS,PNB     N1,145817440,2.601,23532887.35672312,6.196325924210969,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ENEV3,ENEVA,ON      NM,1579130168,8.159,23532887.35672312,67.10312015957777,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ENGI11,ENERGISA,UNT     N2,290386402,5.824,23532887.35672312,12.339599369944692,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
EQTL3,EQUATORIAL,ON      NM,1095587251,14.856,23532887.35672312,46.55558131871146,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
NEOE3,NEOENERGIA,ON      NM,196255894,1.59,23532887.35672312,8.33964362405073,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ORVR3,ORIZON,ON      NM,42889362,0.629,23532887.35672312,1.8225286744402371,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
SAPR11,SANEPAR,UNT     N2,201081482,2.188,23532887.35672312,8.544700824506048,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
SBSP3,SABESP,ON      NM,340001799,9.728,23532887.35672312,14.447942313498762,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
SRNA3,SERENA,ON      NM,334702211,1.297,23532887.35672312,14.222743088275516,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
TAEE11,TAESA,UNT     N2,218568234,3.185,23532887.35672312,9.287778022595989,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
TRPL4,TRAN PAULIST,PN      N1,395801044,3.982,23532887.35672312,16.819059981899052,JAN/2024 ATE ABR/2024,2024-02-04,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
