ATIVO,NOME_EMPRESA,TIPO,QTD_TEORICA,PORC_PART,setor,sub_setor,segmento,REDUTOR,PROPORCAO_QTD,DATA_REF,DATE_UPDATE,CARTEIRA_TEORICA
AESB3,AES BRASIL,ON      NM,315209392,1.508,OTHERS,OTHERS,OTHERS,24873793.83844269,12.672348820100005,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ALUP11,ALUPAR,UNT EDB N2,145652351,1.764,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,5.855654828773762,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
AMBP3,AMBIPAR,ON      NM,43853759,0.403,utilidade_publica,agua_e_saneamento,agua_e_saneamento,24873793.83844269,1.7630506743295262,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
AURE3,AUREN,ON      NM,301966318,2.134,OTHERS,OTHERS,OTHERS,24873793.83844269,12.139938119665047,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CMIG3,CEMIG,ON  ED  N1,360768393,3.264,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,14.503955260834756,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CMIG4,CEMIG,PN  ED  N1,1442098974,7.978,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,57.976639324364825,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CPFE3,CPFL ENERGIA,ON      NM,187732538,2.61,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,7.547402668822379,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CPLE6,COPEL,PNB     N2,1563365506,5.616,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,62.8519121833278,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
CSMG3,COPASA,ON      NM,188469206,1.439,utilidade_publica,agua_e_saneamento,agua_e_saneamento,24873793.83844269,7.577018898850846,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
EGIE3,ENGIE BRASIL,ON      NM,255208461,4.713,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,10.260134125803232,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ELET3,ELETROBRAS,ON  ED  N1,1136581945,17.234,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,45.693952132199534,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
ELET6,ELETROBRAS,PNB ED  N1,155105550,2.53,utilidade_publica,energia_eletrica,energia_eletrica,24873793.83844269,6.235701357316987,MAI/2023 ATE AGO/2023,2023-08-05,CARTEIRA_TEORICA_B3_QUADRIMESTRE_UTIL
