date,also3.sa,alpa4.sa,abev3.sa,arzz3.sa,b3sa3.sa,bpan4.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,brap4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig4.sa,ciel3.sa,cogn3.sa,cple6.sa,csan3.sa,cpfe3.sa,cvcb3.sa,cyre3.sa,dxco3.sa,ecor3.sa,elet3.sa,elet6.sa,embr3.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,eztc3.sa,flry3.sa,ggbr4.sa,goau4.sa,goll4.sa,hype3.sa,itsa4.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mglu3.sa,mrfg3.sa,beef3.sa,mrve3.sa,mult3.sa,pcar3.sa,petr3.sa,petr4.sa,prio3.sa,qual3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,smto3.sa,csna3.sa,slce3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,ugpa3.sa,usim5.sa,vale3.sa,viia3.sa,wege3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,NA,NA,NA,NA,NA,NA,NA,1.142619,NA,1.420096,1.150941,1289.291016,769.231995,NA,3302.799805,NA,NA,-30.296019,NA,0.113206,NA,NA,NA,NA,8.437323,NA,6.064205,NA,NA,NA,NA,NA,NA,NA,241.717896,166.542557,NA,NA,0.470752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848523,1.872028,NA,NA,NA,NA,4.862044,NA,NA,1.817248,NA,NA,NA,7.553815,NA,NA,NA,1.582737,1.701703,0.996682,0.12384,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-04,NA,NA,NA,NA,NA,NA,NA,1.05952,NA,1.318661,1.096201,1257.420898,764.27417,NA,3137.404541,NA,NA,-29.116833,NA,0.133789,NA,NA,NA,NA,8.029412,NA,5.337688,NA,NA,NA,NA,NA,NA,NA,236.136017,160.799713,NA,NA,0.425806,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.744779,1.768469,NA,NA,NA,NA,4.573783,NA,NA,1.843396,NA,NA,NA,7.349232,NA,NA,NA,1.525033,1.661186,0.996682,0.119495,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-05,NA,NA,0.305528,NA,NA,NA,NA,1.095529,NA,1.420096,1.10743,1263.215332,764.27417,NA,3154.455078,NA,NA,-29.388947,NA,0.133789,NA,NA,NA,NA,8.351448,NA,5.537849,NA,NA,NA,NA,NA,NA,NA,244.209793,158.50264,NA,NA,0.46129,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.768357,1.750625,NA,NA,NA,NA,4.446505,NA,NA,1.942383,NA,NA,NA,7.431065,NA,NA,NA,1.670117,1.661186,0.996682,0.119495,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-06,NA,NA,0.29004,NA,NA,NA,NA,1.112149,NA,1.420096,1.122869,1326.955688,744.420349,NA,3196.230713,NA,NA,-28.844711,NA,0.133789,NA,NA,NA,NA,8.158227,NA,5.359927,NA,NA,NA,NA,NA,NA,NA,251.685684,160.225464,NA,NA,0.468386,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.75421,1.74457,NA,NA,0.004817,NA,4.42421,NA,NA,2.030163,NA,NA,NA,7.594731,NA,NA,NA,1.821796,1.661186,0.996682,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-07,NA,NA,0.29004,NA,NA,NA,NA,1.131539,NA,1.420096,1.097605,1361.7229,744.420349,NA,3205.609375,NA,NA,-28.572599,NA,0.14408,NA,NA,NA,NA,8.287041,NA,5.523024,NA,NA,NA,NA,NA,NA,NA,263.148682,160.799713,NA,NA,0.466021,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.768357,1.752536,NA,NA,0.004817,NA,4.486425,NA,NA,2.01709,NA,NA,NA,7.632502,NA,NA,NA,1.894338,1.721961,0.996682,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-10,NA,NA,0.29004,NA,NA,NA,NA,1.137079,NA,1.420096,1.157959,1390.695801,818.862549,NA,3145.930664,NA,NA,-29.388947,NA,0.146139,NA,NA,NA,NA,8.521054,NA,5.574918,NA,NA,NA,NA,NA,NA,NA,271.621185,168.265396,NA,NA,0.482581,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.820229,1.788543,NA,NA,0.004817,NA,4.769758,NA,NA,2.041369,NA,NA,NA,8.104612,NA,NA,NA,2.090531,1.863769,0.996682,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-11,NA,NA,0.29004,NA,NA,NA,NA,1.070599,NA,1.420096,1.14252,1390.695801,818.862549,NA,2975.418945,NA,NA,-28.119066,NA,0.14408,NA,NA,NA,NA,8.179695,NA,5.270966,2.461169,NA,NA,NA,NA,NA,NA,267.634125,169.988266,NA,NA,0.480215,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.758925,1.74457,NA,NA,0.004817,NA,4.746687,NA,NA,1.955457,NA,NA,NA,8.277717,NA,NA,NA,1.97842,1.867821,0.996682,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-12,NA,NA,0.282306,NA,NA,NA,NA,1.121844,NA,1.420096,1.157959,1332.75,818.862549,NA,2924.265869,NA,NA,-27.937643,NA,0.14408,NA,NA,NA,NA,8.083086,NA,5.30062,2.461169,NA,NA,NA,NA,NA,NA,271.621185,172.266281,NA,NA,0.470752,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.697623,1.747119,NA,NA,0.004817,NA,4.642996,NA,NA,1.867676,NA,NA,NA,8.812783,NA,NA,NA,1.881149,1.886054,0.996682,0.110804,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-13,NA,NA,0.28424,NA,NA,NA,NA,1.184168,NA,1.521532,1.138308,1234.242432,818.862549,NA,2996.73291,NA,NA,-29.026121,NA,0.14408,NA,NA,NA,NA,7.898451,NA,5.337688,2.461169,NA,NA,NA,NA,NA,NA,239.225937,178.028198,NA,NA,0.46129,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.697623,1.696774,NA,NA,0.004817,NA,4.60852,NA,NA,1.693982,NA,NA,NA,9.28804,NA,NA,NA,1.813552,1.948855,0.996682,0.112977,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
2000-01-14,NA,NA,0.29004,NA,NA,NA,NA,1.308817,NA,1.622967,1.136905,1205.269531,818.862549,NA,3154.455078,NA,NA,-29.207539,NA,0.14408,NA,NA,NA,NA,7.728845,NA,5.293206,2.461169,NA,NA,NA,NA,NA,NA,269.129181,172.247116,NA,NA,0.463655,NA,NA,NA,NA,6063.465332,NA,NA,NA,NA,NA,NA,1.71177,1.720672,NA,NA,0.004817,NA,4.700545,NA,NA,1.643555,NA,NA,NA,9.347845,NA,NA,NA,1.846526,1.98532,0.996682,0.119495,NA,2023-02-01,MATRIZ_PRECO_CT_B3_IBOV
