date,also3.sa,alpa4.sa,abev3.sa,arzz3.sa,b3sa3.sa,bpan4.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,brap4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig4.sa,ciel3.sa,cogn3.sa,cple6.sa,csan3.sa,cpfe3.sa,cvcb3.sa,cyre3.sa,dxco3.sa,ecor3.sa,elet3.sa,elet6.sa,embr3.sa,enat3.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,eztc3.sa,flry3.sa,ggbr4.sa,goau4.sa,goll4.sa,hype3.sa,itsa4.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mdia3.sa,mglu3.sa,mrfg3.sa,beef3.sa,mrve3.sa,mult3.sa,pcar3.sa,petr3.sa,petr4.sa,prio3.sa,pssa3.sa,qual3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,stbp3.sa,smto3.sa,csna3.sa,slce3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,usim5.sa,vale3.sa,viia3.sa,wege3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,NA,NA,NA,NA,NA,NA,NA,1.141037,NA,1.420097,1.128453,1289.290894,769.23205599999994,NA,3302.800781,NA,NA,-30.296017,NA,0.113206,NA,NA,NA,NA,8.437324,NA,6.064207,NA,NA,NA,NA,NA,NA,NA,NA,241.717911,166.542557,NA,NA,0.469406,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848522,1.872027,NA,NA,NA,NA,NA,4.862043,NA,NA,NA,1.817248,NA,NA,NA,7.541418,NA,NA,2364.003906,NA,1.582737,1.701703,0.996683,0.123133,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-04,NA,NA,NA,NA,NA,NA,NA,1.058052,NA,1.318661,1.074782,1257.420898,764.274048,NA,3137.404297,NA,NA,-29.116827,NA,0.133789,NA,NA,NA,NA,8.029413,NA,5.337687,NA,NA,NA,NA,NA,NA,NA,NA,236.135956,160.799744,NA,NA,0.424589,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.744779,1.768468,NA,NA,NA,NA,NA,4.573782,NA,NA,NA,1.843396,NA,NA,NA,7.337168,NA,NA,2063.812988,NA,1.525033,1.661186,0.996683,0.118812,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-05,NA,NA,0.305528,NA,NA,NA,NA,1.094013,NA,1.420097,1.085791,1263.21521,764.274048,NA,3154.455566,NA,NA,-29.388962,NA,0.133789,NA,NA,NA,NA,8.351448,NA,5.537849,NA,NA,NA,NA,NA,NA,NA,NA,244.209824,158.502579,NA,NA,0.459971,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.768357,1.750625,NA,NA,NA,NA,NA,4.446504,NA,NA,NA,1.942383,NA,NA,NA,7.41887,NA,NA,2288.955322,NA,1.670117,1.661186,0.996683,0.118812,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-06,NA,NA,0.29004,NA,NA,NA,NA,1.11061,NA,1.420097,1.100929,1326.955688,744.420349,NA,3196.230957,NA,NA,-28.844717,NA,0.133789,NA,NA,NA,NA,8.158227,NA,5.359929,NA,NA,NA,NA,NA,NA,NA,NA,251.685669,160.225479,NA,NA,0.467047,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.75421,1.74457,NA,NA,NA,0.004817,NA,4.42421,NA,NA,NA,2.030164,NA,NA,NA,7.582263,NA,NA,2255.184326,NA,1.821796,1.661186,0.996683,0.108011,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-07,NA,NA,0.29004,NA,NA,NA,NA,1.129972,NA,1.420097,1.076159,1361.723022,744.420349,NA,3205.609619,NA,NA,-28.572599,NA,0.14408,NA,NA,NA,NA,8.28704,NA,5.523022,NA,NA,NA,NA,NA,NA,NA,NA,263.14859,160.799744,NA,NA,0.464689,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.768357,1.752536,NA,NA,NA,0.004817,NA,4.486424,NA,NA,NA,2.01709,NA,NA,NA,7.619974,NA,NA,2176.384033,NA,1.894338,1.721961,0.996683,0.108011,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-10,NA,NA,0.29004,NA,NA,NA,NA,1.135505,NA,1.420097,1.135333,1390.696045,818.862488,NA,3145.929932,NA,NA,-29.388962,NA,0.146139,NA,NA,NA,NA,8.521052,NA,5.574919,NA,NA,NA,NA,NA,NA,NA,NA,271.621246,168.265366,NA,NA,0.481201,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.820229,1.788543,NA,NA,NA,0.004817,NA,4.769759,NA,NA,NA,2.041369,NA,NA,NA,8.091314,NA,NA,2322.726807,NA,2.090531,1.86377,0.996683,0.108011,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-11,NA,NA,0.29004,NA,NA,NA,NA,1.069117,NA,1.420097,1.120196,1390.696045,818.862488,NA,2975.418945,NA,NA,-28.119068,NA,0.14408,NA,NA,NA,NA,8.179695,NA,5.270967,NA,2.461168,NA,NA,NA,NA,NA,NA,267.634064,169.988373,NA,NA,0.478842,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.758926,1.74457,NA,NA,NA,0.004817,NA,4.746687,NA,NA,NA,1.955457,NA,NA,NA,8.264136,NA,NA,2251.431396,NA,1.978421,1.867821,0.996683,0.108011,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-12,NA,NA,0.282306,NA,NA,NA,NA,1.120292,NA,1.420097,1.135333,1332.750366,818.862488,NA,2924.265869,NA,NA,-27.937645,NA,0.14408,NA,NA,NA,NA,8.083083,NA,5.300619,NA,2.461168,NA,NA,NA,NA,NA,NA,271.621246,172.266296,NA,NA,0.469406,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.697623,1.747119,NA,NA,NA,0.004817,NA,4.642997,NA,NA,NA,1.867676,NA,NA,NA,8.798317,NA,NA,2210.155273,NA,1.881148,1.886054,0.996683,0.110171,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-13,NA,NA,0.28424,NA,NA,NA,NA,1.18253,NA,1.521532,1.116068,1234.242676,818.862488,NA,2996.73291,NA,NA,-29.026131,NA,0.14408,NA,NA,NA,NA,7.898451,NA,5.337687,NA,2.461168,NA,NA,NA,NA,NA,NA,239.225998,178.028214,NA,NA,0.459971,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.697623,1.696774,NA,NA,NA,0.004817,NA,4.60852,NA,NA,NA,1.693982,NA,NA,NA,9.272799,NA,NA,2247.678711,NA,1.813553,1.948854,0.996683,0.112332,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
2000-01-14,NA,NA,0.29004,NA,NA,NA,NA,1.307006,NA,1.622968,1.114691,1205.269531,818.862488,NA,3154.455566,NA,NA,-29.207542,NA,0.14408,NA,NA,NA,NA,7.728847,NA,5.293208,NA,2.461168,NA,NA,NA,NA,NA,NA,269.129242,172.247101,NA,NA,0.46233,NA,NA,NA,NA,6063.466797,NA,NA,NA,NA,NA,NA,NA,1.71177,1.720672,NA,NA,NA,0.004817,NA,4.700545,NA,NA,NA,1.643555,NA,NA,NA,9.332503,NA,NA,2307.718506,NA,1.846526,1.985319,0.996683,0.118812,NA,2023-03-01,MATRIZ_PRECO_CT_B3_IBXX
