date,abev3.sa,arzz3.sa,b3sa3.sa,bpan4.sa,bbdc3.sa,bbdc4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig4.sa,ciel3.sa,cogn3.sa,cple6.sa,csan3.sa,cpfe3.sa,dxco3.sa,ecor3.sa,elet3.sa,elet6.sa,embr3.sa,enbr3.sa,engi11.sa,enev3.sa,egie3.sa,eztc3.sa,flry3.sa,ggbr4.sa,goll4.sa,hype3.sa,itsa4.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mdia3.sa,mglu3.sa,mrfg3.sa,beef3.sa,mrve3.sa,mult3.sa,pcar3.sa,petr3.sa,petr4.sa,pssa3.sa,radl3.sa,rail3.sa,sanb11.sa,stbp3.sa,smto3.sa,csna3.sa,slce3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,usim5.sa,viia3.sa,wege3.sa,yduq3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,NA,NA,NA,NA,1.142619,NA,1.150941,1289.290649,769.231873,NA,3302.800293,NA,NA,-30.296015,NA,0.113206,NA,NA,8.437324,NA,6.064206,NA,NA,NA,NA,NA,NA,241.717819,NA,NA,0.470752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.848523,1.872027,NA,NA,NA,NA,NA,NA,1.817249,NA,NA,NA,7.553811,NA,NA,2364.003906,NA,1.582737,0.996683,0.123841,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-04,NA,NA,NA,NA,1.05952,NA,1.096201,1257.420898,764.274048,NA,3137.404053,NA,NA,-29.116835,NA,0.133789,NA,NA,8.029413,NA,5.337687,NA,NA,NA,NA,NA,NA,236.135956,NA,NA,0.425806,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.744779,1.768468,NA,NA,NA,NA,NA,NA,1.843396,NA,NA,NA,7.349233,NA,NA,2063.8125,NA,1.525033,0.996683,0.119495,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-05,0.305528,NA,NA,NA,1.09553,NA,1.10743,1263.214966,764.274048,NA,3154.455811,NA,NA,-29.388952,NA,0.133789,NA,NA,8.351448,NA,5.53785,NA,NA,NA,NA,NA,NA,244.209885,NA,NA,0.46129,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.768357,1.750624,NA,NA,NA,NA,NA,NA,1.942383,NA,NA,NA,7.431064,NA,NA,2288.954834,NA,1.670117,0.996683,0.119495,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-06,0.29004,NA,NA,NA,1.112149,NA,1.122869,1326.955811,744.420349,NA,3196.231201,NA,NA,-28.844709,NA,0.133789,NA,NA,8.158226,NA,5.359929,NA,NA,NA,NA,NA,NA,251.685623,NA,NA,0.468387,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.754211,1.74457,NA,0.004817,NA,NA,NA,NA,2.030163,NA,NA,NA,7.59473,NA,NA,2255.183594,NA,1.821796,0.996683,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-07,0.29004,NA,NA,NA,1.131539,NA,1.097605,1361.723389,744.420349,NA,3205.608887,NA,NA,-28.572599,NA,0.14408,NA,NA,8.28704,NA,5.523024,NA,NA,NA,NA,NA,NA,263.148529,NA,NA,0.466021,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.768357,1.752536,NA,0.004817,NA,NA,NA,NA,2.017091,NA,NA,NA,7.632499,NA,NA,2176.384521,NA,1.894338,0.996683,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-10,0.29004,NA,NA,NA,1.137079,NA,1.157959,1390.695801,818.862488,NA,3145.93042,NA,NA,-29.388952,NA,0.146139,NA,NA,8.521054,NA,5.574918,NA,NA,NA,NA,NA,NA,271.621155,NA,NA,0.48258,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.820229,1.788543,NA,0.004817,NA,NA,NA,NA,2.041369,NA,NA,NA,8.104613,NA,NA,2322.727295,NA,2.090531,0.996683,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-11,0.29004,NA,NA,NA,1.070599,NA,1.142519,1390.695801,818.862488,NA,2975.418945,NA,NA,-28.119053,NA,0.14408,NA,NA,8.179696,NA,5.270965,2.461168,NA,NA,NA,NA,NA,267.634064,NA,NA,0.480215,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.758926,1.74457,NA,0.004817,NA,NA,NA,NA,1.955457,NA,NA,NA,8.27772,NA,NA,2251.431641,NA,1.978421,0.996683,0.108631,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-12,0.282306,NA,NA,NA,1.121844,NA,1.157959,1332.750244,818.862488,NA,2924.266113,NA,NA,-27.937641,NA,0.14408,NA,NA,8.083084,NA,5.30062,2.461168,NA,NA,NA,NA,NA,271.621155,NA,NA,0.470752,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.697623,1.74712,NA,0.004817,NA,NA,NA,NA,1.867676,NA,NA,NA,8.812779,NA,NA,2210.154785,NA,1.881148,0.996683,0.110804,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-13,0.28424,NA,NA,NA,1.184169,NA,1.138308,1234.242554,818.862488,NA,2996.733154,NA,NA,-29.026123,NA,0.14408,NA,NA,7.898452,NA,5.337687,2.461168,NA,NA,NA,NA,NA,239.225983,NA,NA,0.46129,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.697623,1.696774,NA,0.004817,NA,NA,NA,NA,1.693982,NA,NA,NA,9.28804,NA,NA,2247.679443,NA,1.813552,0.996683,0.112977,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
2000-01-14,0.29004,NA,NA,NA,1.308819,NA,1.136905,1205.269653,818.862488,NA,3154.455811,NA,NA,-29.207539,NA,0.14408,NA,NA,7.728846,NA,5.293207,2.461168,NA,NA,NA,NA,NA,269.129303,NA,NA,0.463655,NA,NA,NA,NA,6063.46582,NA,NA,NA,NA,NA,NA,NA,1.71177,1.720672,NA,0.004817,NA,NA,NA,NA,1.643554,NA,NA,NA,9.347844,NA,NA,2307.717773,NA,1.846526,0.996683,0.119495,NA,2023-02-01,MATRIZ_PRECO_CT_B3_ICO2
