date,cyre3.sa,dirr3.sa,even3.sa,eztc3.sa,gfsa3.sa,jhsf3.sa,mrve3.sa,mult3.sa,syne3.sa,tend3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,0.3414764702320099,NA,NA,NA,NA,NA,NA,NA,0.9200452566146851,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-04,0.3414764702320099,NA,NA,NA,NA,NA,NA,NA,0.9200452566146851,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-05,0.3414764702320099,NA,NA,NA,NA,NA,NA,NA,0.9200452566146851,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-06,0.3414764702320099,NA,NA,NA,NA,NA,NA,NA,0.9200452566146851,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-07,0.3414764702320099,NA,NA,NA,NA,NA,NA,NA,0.9200452566146851,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-10,0.34889981150627136,NA,NA,NA,NA,NA,NA,NA,0.9400461912155151,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-11,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.9600474238395691,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-12,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.9600474238395691,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-13,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.9600474238395691,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-14,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.9600474238395691,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-17,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.09600473940372467,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-18,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.09600473940372467,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-19,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.09600473940372467,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-20,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.09600473940372467,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-21,0.3563232421875,NA,NA,NA,NA,NA,NA,NA,0.09600473940372467,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-24,0.40828704833984375,NA,NA,NA,NA,NA,NA,NA,0.11000540852546692,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-25,0.40828704833984375,NA,NA,NA,NA,NA,NA,NA,0.11000540852546692,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-26,0.40828704833984375,NA,NA,NA,NA,NA,NA,NA,0.11000540852546692,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-27,0.40828704833984375,NA,NA,NA,NA,NA,NA,NA,0.11000540852546692,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-28,0.40828704833984375,NA,NA,NA,NA,NA,NA,NA,0.11000540852546692,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-01-31,0.4008636772632599,NA,NA,NA,NA,NA,NA,NA,0.10800532251596451,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-01,0.4008636772632599,NA,NA,NA,NA,NA,NA,NA,0.10800532251596451,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-02,0.38601672649383545,NA,NA,NA,NA,NA,NA,NA,0.1040051206946373,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-03,0.38601672649383545,NA,NA,NA,NA,NA,NA,NA,0.1040051206946373,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-04,0.38601672649383545,NA,NA,NA,NA,NA,NA,NA,0.1040051206946373,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-07,0.38601672649383545,NA,NA,NA,NA,NA,NA,NA,0.1040051206946373,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-08,0.38601672649383545,NA,NA,NA,NA,NA,NA,NA,0.1040051206946373,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
2000-02-09,0.38601672649383545,NA,NA,NA,NA,NA,NA,NA,0.1040051206946373,NA,2025-03-21,MATRIZ_PRECO_CT_B3_IMOB
