date,also3.sa,abev3.sa,arzz3.sa,b3sa3.sa,bpan4.sa,bbdc4.sa,bbas3.sa,brkm5.sa,brfs3.sa,ccro3.sa,cmig4.sa,ciel3.sa,cogn3.sa,cple6.sa,csan3.sa,cpfe3.sa,dasa3.sa,dxco3.sa,ecor3.sa,elet3.sa,enbr3.sa,enev3.sa,egie3.sa,flry3.sa,gfsa3.sa,grnd3.sa,guar3.sa,hype3.sa,mypk3.sa,rani3.sa,itsa4.sa,itub4.sa,klbn11.sa,ligt3.sa,lren3.sa,mdia3.sa,mglu3.sa,mrfg3.sa,beef3.sa,mrve3.sa,pcar3.sa,radl3.sa,rail3.sa,sanb11.sa,stbp3.sa,slce3.sa,suzb3.sa,vivt3.sa,tims3.sa,trpl4.sa,usim5.sa,viia3.sa,wege3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,NA,NA,NA,NA,NA,NA,1.150941,1289.291016,769.231934,NA,3302.799561,NA,NA,-30.296019,NA,0.113206,NA,NA,NA,8.437325,NA,NA,NA,NA,NA,NA,3.787723,NA,NA,NA,0.470752,NA,NA,47.518929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.553813,NA,2364.003174,1.582737,0.996682,0.12384,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-04,NA,NA,NA,NA,NA,NA,1.096201,1257.420898,764.274048,NA,3137.404541,NA,NA,-29.116833,NA,0.133789,NA,NA,NA,8.029412,NA,NA,NA,NA,NA,NA,3.787723,NA,NA,NA,0.425806,NA,NA,49.243214,6063.465332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.349233,NA,2063.812256,1.525033,0.996682,0.119495,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-05,NA,0.305528,NA,NA,NA,NA,1.10743,1263.215454,764.274048,NA,3154.455566,NA,NA,-29.388954,NA,0.133789,NA,NA,NA,8.351447,NA,NA,NA,NA,NA,NA,3.787723,NA,0.811174,NA,0.46129,NA,NA,52.945332,6063.465332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.431062,NA,2288.956055,1.670118,0.996682,0.119495,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-06,NA,0.29004,NA,NA,NA,NA,1.122869,1326.955566,744.420288,NA,3196.230713,NA,NA,-28.844713,NA,0.133789,NA,NA,NA,8.158226,NA,NA,NA,NA,NA,NA,3.647435,NA,NA,3.04e-4,0.468387,NA,NA,57.408138,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,7.594728,NA,2255.184326,1.821796,0.996682,0.108631,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-07,NA,0.29004,NA,NA,NA,NA,1.097605,1361.7229,744.420288,NA,3205.609131,NA,NA,-28.572596,NA,0.14408,NA,NA,NA,8.287041,NA,NA,NA,NA,NA,NA,3.787723,NA,NA,3.04e-4,0.466021,NA,NA,55.683872,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,7.632499,NA,2176.383545,1.894338,0.996682,0.108631,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-10,NA,0.29004,NA,NA,NA,NA,1.157959,1390.696045,818.862488,NA,3145.929932,NA,NA,-29.388954,NA,0.146139,NA,NA,NA,8.521054,NA,NA,NA,NA,NA,NA,3.787723,NA,NA,3.04e-4,0.48258,NA,NA,54.872456,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,8.104611,NA,2322.726563,2.090531,0.996682,0.108631,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-11,NA,0.29004,NA,NA,NA,NA,1.142519,1390.696045,818.862488,NA,2975.419678,NA,NA,-28.119053,NA,0.14408,NA,NA,NA,8.179695,2.461168,NA,NA,NA,NA,NA,3.787723,NA,NA,3.04e-4,0.480215,NA,NA,54.061028,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,8.277719,NA,2251.432617,1.978421,0.996682,0.108631,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-12,NA,0.282306,NA,NA,NA,NA,1.157959,1332.750244,818.862488,NA,2924.265381,NA,NA,-27.937641,NA,0.14408,NA,NA,NA,8.083086,2.461168,NA,NA,NA,NA,NA,3.787723,NA,NA,3.04e-4,0.470752,NA,NA,54.771027,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,8.812778,NA,2210.155762,1.881149,0.996682,0.110804,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-13,NA,0.28424,NA,NA,NA,NA,1.138308,1234.242554,818.862488,NA,2996.732666,NA,NA,-29.026125,NA,0.14408,NA,NA,NA,7.898452,2.461168,NA,NA,NA,NA,NA,3.787723,NA,NA,3.04e-4,0.46129,NA,NA,53.401745,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,9.288044,NA,2247.679688,1.813552,0.996682,0.112977,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
2000-01-14,NA,0.29004,NA,NA,NA,NA,1.136905,1205.269653,818.862488,NA,3154.455566,NA,NA,-29.207539,NA,0.14408,NA,NA,NA,7.728846,2.461168,NA,NA,NA,NA,NA,3.787723,NA,NA,3.04e-4,0.463655,NA,NA,51.576046,6063.465332,NA,NA,NA,NA,NA,NA,0.004817,NA,NA,NA,NA,NA,9.347842,NA,2307.717773,1.846526,0.996682,0.119495,2023-02-01,MATRIZ_PRECO_CT_B3_ISEE
