date,abev3.sa,b3sa3.sa,bbse3.sa,bbdc3.sa,bbdc4.sa,bbas3.sa,brkm5.sa,ccro3.sa,cmig3.sa,cmig4.sa,ciel3.sa,cple6.sa,csan3.sa,cpfe3.sa,elet3.sa,elet6.sa,engi11.sa,enev3.sa,egie3.sa,eqtl3.sa,ggbr4.sa,hype3.sa,itsa4.sa,itub3.sa,itub4.sa,jbss3.sa,klbn11.sa,rent3.sa,lren3.sa,mglu3.sa,mult3.sa,petr3.sa,petr4.sa,prio3.sa,pssa3.sa,radl3.sa,rail3.sa,sbsp3.sa,sanb11.sa,csna3.sa,suzb3.sa,taee11.sa,vivt3.sa,tims3.sa,tots3.sa,trpl4.sa,ugpa3.sa,vale3.sa,wege3.sa,DATE_UPDATE,CARTEIRA_TEORICA
2000-01-03,NA,NA,NA,1.142619,NA,1.150941,1289.291016,NA,0.881175,3302.800781,NA,-30.296024,NA,0.113206,8.437324,NA,NA,NA,NA,NA,241.717941,NA,0.470752,1.247434,NA,NA,NA,NA,NA,NA,NA,1.848522,1.872027,NA,NA,NA,NA,4.862043,NA,1.817248,NA,NA,7.553813,NA,NA,2364.001953,NA,1.701703,0.12384,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-04,NA,NA,NA,1.05952,NA,1.096201,1257.420898,NA,0.846619,3137.404297,NA,-29.11684,NA,0.133789,8.029412,NA,NA,NA,NA,NA,236.135986,NA,0.425806,1.202882,NA,NA,NA,NA,6063.46582,NA,NA,1.744779,1.768469,NA,NA,NA,NA,4.573783,NA,1.843396,NA,NA,7.349232,NA,NA,2063.812012,NA,1.661185,0.119495,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-05,0.305528,NA,NA,1.095529,NA,1.10743,1263.21521,NA,0.829342,3154.455566,NA,-29.388958,NA,0.133789,8.351448,NA,NA,NA,NA,NA,244.2099,NA,0.46129,1.193972,NA,NA,NA,NA,6063.46582,NA,NA,1.768357,1.750624,NA,NA,NA,NA,4.446504,NA,1.942383,NA,NA,7.431065,NA,NA,2288.955322,NA,1.661185,0.119495,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-06,0.29004,NA,NA,1.11215,NA,1.122869,1326.955688,NA,0.846619,3196.230713,NA,-28.844713,NA,0.133789,8.158227,NA,NA,NA,NA,NA,251.685623,NA,0.468387,1.158331,NA,NA,NA,NA,6063.46582,NA,NA,1.754211,1.74457,NA,NA,0.004817,NA,4.424211,NA,2.030163,NA,NA,7.594731,NA,NA,2255.184814,NA,1.661185,0.108631,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-07,0.29004,NA,NA,1.131539,NA,1.097604,1361.722778,NA,0.829342,3205.609375,NA,-28.572601,NA,0.14408,8.287041,NA,NA,NA,NA,NA,263.14856,NA,0.466021,1.247434,NA,NA,NA,NA,6063.46582,NA,NA,1.768357,1.752537,NA,NA,0.004817,NA,4.486424,NA,2.017089,NA,NA,7.632498,NA,NA,2176.384033,NA,1.721961,0.108631,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-10,0.29004,NA,NA,1.137079,NA,1.157959,1390.695435,NA,0.829342,3145.929932,NA,-29.388958,NA,0.146139,8.521053,NA,NA,NA,NA,NA,271.621124,NA,0.48258,1.265254,NA,NA,NA,NA,6063.46582,NA,NA,1.820229,1.788543,NA,NA,0.004817,NA,4.769758,NA,2.041369,NA,NA,8.104613,NA,NA,2322.727783,NA,1.86377,0.108631,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-11,0.29004,NA,NA,1.070598,NA,1.142519,1390.695435,NA,0.829342,2975.419189,NA,-28.119064,NA,0.14408,8.179695,NA,NA,NA,NA,NA,267.634125,NA,0.480214,1.265254,NA,NA,NA,NA,6063.46582,NA,NA,1.758925,1.74457,NA,NA,0.004817,NA,4.746687,NA,1.955457,NA,NA,8.277724,NA,NA,2251.431885,NA,1.867821,0.108631,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-12,0.282306,NA,NA,1.121844,NA,1.157959,1332.75,NA,0.794786,2924.265137,NA,-27.937649,NA,0.14408,8.083085,NA,NA,NA,NA,NA,271.621124,NA,0.470752,1.247434,NA,NA,NA,NA,6063.46582,NA,NA,1.697623,1.747119,NA,NA,0.004817,NA,4.642997,NA,1.867676,NA,NA,8.81278,NA,NA,2210.15625,NA,1.886054,0.110804,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-13,0.28424,NA,NA,1.184169,NA,1.138308,1234.242676,NA,0.829342,2996.733154,NA,-29.026123,NA,0.14408,7.898451,NA,NA,NA,NA,NA,239.226013,NA,0.46129,1.247434,NA,NA,NA,NA,6063.46582,NA,NA,1.697623,1.696774,NA,NA,0.004817,NA,4.608521,NA,1.693982,NA,NA,9.288044,NA,NA,2247.679688,NA,1.948855,0.112977,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-14,0.29004,NA,NA,1.308818,NA,1.136905,1205.269775,NA,0.829342,3154.455566,NA,-29.207546,NA,0.14408,7.728847,NA,NA,NA,NA,NA,269.12912,NA,0.463655,1.247434,NA,NA,NA,NA,6063.46582,NA,NA,1.711769,1.720672,NA,NA,0.004817,NA,4.700544,NA,1.643555,NA,NA,9.347845,NA,NA,2307.717529,NA,1.98532,0.119495,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-17,0.309394,NA,NA,1.286658,NA,1.145326,1187.885742,NA,0.829342,3128.879395,NA,-29.207546,NA,0.14408,7.857659,NA,NA,NA,NA,NA,270.125946,NA,0.480214,1.265254,NA,NA,NA,NA,6063.46582,NA,NA,1.697623,1.700916,NA,NA,0.004817,NA,4.769758,NA,1.746277,NA,NA,9.917528,NA,NA,2213.908447,NA,2.025836,0.115149,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-18,0.309394,NA,NA,1.297738,NA,1.176205,1216.859009,NA,0.812064,3128.879395,NA,-29.661077,NA,0.14408,7.879129,NA,NA,NA,NA,NA,289.064636,NA,0.468387,1.229613,NA,NA,NA,NA,6063.46582,NA,NA,1.697623,1.708882,NA,NA,0.004817,NA,4.723617,NA,1.716394,NA,NA,10.449445,NA,NA,2183.88916,NA,1.965061,0.108631,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-19,0.309394,NA,NA,1.257574,NA,1.163573,1159.087036,NA,0.829342,3094.776611,NA,-29.026123,NA,0.14408,7.836192,NA,NA,NA,NA,NA,277.601776,NA,0.463655,1.238523,NA,NA,NA,NA,6063.46582,NA,NA,1.683476,1.696774,NA,NA,0.004817,NA,4.654662,NA,1.667835,NA,NA,9.914381,NA,NA,2157.62207,NA,1.956958,0.116236,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-20,0.309394,NA,NA,1.220178,NA,1.156555,1216.859009,NA,0.812064,3010.373047,NA,-29.588514,NA,0.14408,7.857659,NA,NA,NA,NA,NA,271.621124,NA,0.454193,1.238523,NA,NA,NA,NA,6063.46582,NA,NA,1.626888,1.69295,NA,NA,0.004817,NA,4.700544,NA,1.619276,NA,NA,9.757007,NA,NA,2138.86084,NA,1.944803,0.117322,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-21,0.309394,NA,NA,1.178629,NA,1.16638,1188.001709,NA,0.829342,2941.316406,NA,-29.933186,NA,0.14408,7.299464,NA,NA,NA,NA,NA,271.621124,NA,0.444731,1.202882,NA,NA,NA,NA,6063.46582,NA,NA,1.579732,1.656943,NA,NA,0.004817,NA,4.723617,NA,1.507215,NA,NA,9.59964,NA,NA,2071.31665,NA,1.904286,0.114063,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-24,0.309394,NA,NA,1.162008,NA,1.138308,1193.680542,NA,0.829342,2920.003174,NA,-29.388958,NA,0.14408,7.342404,NA,NA,NA,NA,NA,266.687134,NA,0.435269,1.185061,NA,NA,NA,NA,6063.46582,NA,NA,1.589163,1.645154,NA,NA,0.004817,NA,4.631591,NA,1.544568,NA,NA,9.605928,NA,NA,2067.564209,NA,1.944803,0.11189,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
2000-01-25,0.309394,NA,NA,1.162008,NA,NA,1193.680542,NA,0.829342,2920.003174,NA,-29.388958,NA,0.14408,7.342404,NA,NA,NA,NA,NA,266.687134,NA,0.435269,1.185061,NA,NA,NA,NA,6063.46582,NA,NA,NA,1.645154,NA,NA,0.004817,NA,4.631591,NA,NA,NA,NA,9.605928,NA,NA,2067.564209,NA,1.944803,0.11189,2023-01-11,MATRIZ_PRECO_CT_B3_MLCX
